Tankmasse,Tage,Apo,Per,SMA,ECC,TotalMass,orbitheight,targetmass,,,,,,,,,,,,,,,,,,,,,,,,
5.724192323,466.5672884,6643.925357,6557.655998,6600.790678,0.006534774612,474.7241923,700,425,0,,,,,,,,,,,,,,,,,,,,,,,
5.455251739,487.2838305,6652.984315,6557.857678,6605.420996,0.007200649085,499.4552517,700,450,0,,,,,,,,,,,,,,,,,,,,,,,
5.222065303,504.2486454,6708.09112,6556.811465,6632.451292,0.01140450555,524.2220653,700,475,1,,,,,,,,,,,,,,,,,,,,,,,
4.944078215,523.9194039,6673.657527,6557.647406,6615.652466,0.008767851772,548.9440782,700,500,0,,,,,,,,,,,,,,,,,,,,,,,
4.807599171,543.8157945,6618.395141,6557.070927,6587.733034,0.004654424684,573.8075992,700,525,0,,,,,,,,,,,,,,,,,,,,,,,
4.727501933,572.7037705,6611.036174,6556.888094,6583.962134,0.004112119613,598.7275019,700,550,1,,,,,,,,,,,,,,,,,,,,,,,
8.976566288,76.7943369,6634.053551,6551.176587,6592.615069,0.006285591074,102.9765663,750,50,1,,,,,,,,,,,,,,,,,,,,,,,
8.870137452,107.8481618,6568.02459,6552.170994,6560.097792,0.001208335317,127.8701375,750,75,1,,,,,,,,,,,,,,,,,,,,,,,
8.544328225,152.848475,6668.366453,6555.737001,6612.051727,0.008516982064,152.5443282,750,100,1,,,,,,,,,,,,,,,,,,,,,,,
8.229400337,176.1629075,6666.202272,6555.497007,6610.849639,0.008372998281,177.2294003,750,125,1,,,,,,,,,,,,,,,,,,,,,,,
7.944622563,197.8206581,6657.656415,6555.110787,6606.383601,0.007761101606,201.9446226,750,150,1,,,,,,,,,,,,,,,,,,,,,,,
7.692660124,219.163924,6649.87971,6557.956123,6603.917917,0.006959776611,226.6926601,750,175,0,,,,,,,,,,,,,,,,,,,,,,,
7.556131984,243.1006113,6604.590277,6557.094129,6580.842203,0.003608667882,251.556132,750,200,0,,,,,,,,,,,,,,,,,,,,,,,
7.466601755,279.7521982,6618.409484,6555.127509,6586.768496,0.004803719369,276.4666018,750,225,1,,,,,,,,,,,,,,,,,,,,,,,
7.028578702,317.9494744,6648.186964,6556.618599,6602.402782,0.006934472792,301.0285787,750,250,1,,,,,,,,,,,,,,,,,,,,,,,
6.593637917,348.5018411,6701.176674,6557.36014,6629.268407,0.0108470894,325.5936379,750,275,0,,,,,,,,,,,,,,,,,,,,,,,
6.29782991,370.532742,6703.337187,6557.776949,6630.557068,0.01097647124,350.2978299,750,300,0,,,,,,,,,,,,,,,,,,,,,,,
6.23511379,392.0189241,6658.247887,6556.458747,6607.353317,0.007702716586,375.2351138,750,325,1,,,,,,,,,,,,,,,,,,,,,,,
6.19304756,430.1111835,6602.972894,6557.691276,6580.332085,0.003440678825,400.1930476,750,350,0,,,,,,,,,,,,,,,,,,,,,,,
