Tankmasse;Tage;Apo;Per;SMA;ECC;TotalMass;orbitheight;targetmass
6.881.004.995;3.790.373.815;6.754.167.475;6.550.901.761;6.652.534.618;0.01527731345;225.881.005;900;175
6.738.722.616;4.105.026.987;6.655.117.165;655.076.276;6.602.939.962;0.007902116755;2.507.387.226;900;200
6.422.651.909;47.034.437;6.652.154.175;654.953.215;6.600.843.163;0.007773402691;2.754.226.519;900;225
5.945.934.056;5.112.954.232;6.677.007.299;6.550.803.592;6.613.905.445;0.009540785554;2.999.459.341;900;250
5.635.622.394;5.387.080.662;6.784.659.317;6.550.869.013;6.667.764.165;0.01753138672;3.246.356.224;900;275
5.326.110.382;5.715.277.516;6.678.757.276;6.550.771.061;6.614.764.168;0.009674284022;3.493.261.104;900;300
4.993.725.737;6.182.382.953;6.666.820.316;6.550.774.554;6.608.797.435;0.00877964284;3.739.937.257;900;325
4.579.961.386;6.537.794.099;6.700.715.403;6.550.927.008;6.625.821.206;0.01130338345;3.985.799.614;900;350
4.275.445.589;6.800.437.053;6.800.231.147;6.550.796.975;6.675.514.061;0.01868276884;4.232.754.456;900;375
4.080.891.251;7.183.951.219;6.608.881.457;6.549.958.829;6.579.420.143;0.004477797946;4.480.808.913;900;400
3.598.662.382;7.755.533.034;6.686.637.983;6.551.169.771;6.618.903.877;0.01023343253;4.725.986.624;900;425
3.282.327.294;8.031.532.033;680.992.584;6.550.951.577;6.680.438.708;0.01938302808;4.972.823.273;900;450
2.932.811.901;8.345.409.799;6.714.998.776;6.550.930.077;6.632.964.427;0.0123676752;5.219.328.119;900;475
2.746.031.008;8.659.906.427;664.422.544;6.550.339.313;6.597.282.377;0.00711551525;546.746.031;900;500
2.532.612.534;9.251.145.546;6.681.131.068;6.550.626.184;6.615.878.626;0.009863004689;5.715.326.125;900;525
1.956.790.716;9.772.519.961;6.644.780.376;6.550.568.383;659.767.438;0.007139787963;5.959.567.907;900;550
8.539.267.635;1.782.028.598;6.705.383.456;6.548.631.842;6.627.007.649;0.01182672656;1.025.392.676;950;50
8.162.990.736;2.130.181.539;6.703.287.316;6.549.115.729;6.626.201.522;0.01163348159;1.271.629.907;950;75
7.879.626.595;251.583.868;6.601.001.858;6.544.543.157;6.572.772.507;0.004294892363;1.518.796.266;950;100
7.540.642.587;3.202.396.123;6.647.323.037;6.550.610.954;6.598.966.996;0.007327819907;1.765.406.426;950;125
7.019.002.591;3.657.687.059;6.797.076.281;6.551.482.451;6.674.279.366;0.0183985279;2.010.190.026;950;150
6.692.191.253;3.975.550.486;6.714.575.937;6.550.997.408;6.632.786.672;0.01233105609;2.256.921.913;950;175
6.590.148.555;4.496.244.627;6.604.743.871;6.548.792.138;6.576.768.005;0.004253740774;2.505.901.486;950;200
6.013.321.132;5.015.969.713;6.684.478.961;6.550.989.707;6.617.734.334;0.01008572176;2.750.133.211;950;225
5.630.323.777;5.346.644.199;67.149.046;6.550.277.139;663.259.087;0.01241049423;2.996.303.238;950;250
5.304.999.457;5.671.565.653;6.746.790.801;6.551.115.576;6.648.953.188;0.01471473929;3.243.049.995;950;275
50.447.509;6.102.341.429;6.654.609.349;6.550.714.739;6.602.662.044;0.007867630504;3.490.447.509;950;300
4.518.478.257;6.543.315.453;6.734.076.632;6.551.128.957;6.642.602.794;0.01377078239;3.735.184.783;950;325
4.200.700.813;6.817.267.632;6.858.222.073;6.550.953.048;6.704.587.561;0.02291483423;3.982.007.008;950;350
3.960.600.426;7.234.468.375;6.627.694.317;6.550.697.356;6.589.195.837;0.005842667582;4.229.606.004;950;375
3.485.850.665;7.841.445.217;6.703.983.787;6.551.204.824;6.627.594.306;0.01152597426;4.474.858.507;950;400
3.152.952.546;8.142.796.436;6.836.177.679;6.550.984.688;6.693.581.183;0.02130346839;4.721.529.525;950;425
2.775.780.765;8.484.825.489;6.743.431.741;6.551.254.722;6.647.343.231;0.01445517498;4.967.757.808;950;450
2.606.666.016;8.880.502.897;6.624.223.867;6.550.399.825;6.587.311.846;0.005603502925;521.606.666;950;475
2.161.002.043;9.577.169.913;6.710.129.942;6.551.331.064;6.630.730.503;0.01197446332;546.161.002;950;500
1.687.951.438;1.000.446.857;6.708.051.218;6.550.698.231;6.629.374.725;0.01186786035;5.706.879.514;950;525
1.382.960.645;1.044.909.206;6.669.960.789;6.550.957.136;6.610.458.962;0.009001164154;5.953.829.606;950;550
8.424.334.102;1.885.999.572;6.796.546.303;6.557.833.236;6.677.189.769;0.0178752646;1.024.243.341;1000;50
8.042.315.459;2.241.410.573;6.820.415.402;6.557.279.971;6.688.847.687;0.01966971319;1.270.423.155;1000;75
7.821.213.068;2.727.894.784;6.590.003.669;6.551.786.103;6.570.894.886;0.002908094447;1.518.212.131;1000;100
7.283.295.853;3.418.797.593;6.747.575.754;6.557.894.983;6.652.735.368;0.01425584822;1.762.832.959;1000;125
6.821.053.992;3.819.421.798;69.508.519;6.557.938.672;6.754.395.286;0.02908574428;200.821.054;1000;150
6.586.568.629;4.169.514.647;6.717.070.543;6.557.384.109;6.637.227.326;0.01202960408;2.255.865.686;1000;175
6.217.543.332;4.810.918.222;6.693.140.315;6.557.775.484;66.254.579;0.01021550765;2.502.175.433;1000;200
5.704.939.323;5.236.292.886;680.324.838;6.557.817.237;6.680.532.809;0.01836912936;2.747.049.393;1000;225
5.378.204.209;5.531.312.556;6.900.246.479;6.557.762.381;672.900.443;0.02544834835;2.993.782.042;1000;250
5.055.198.495;5.952.783.619;6.725.448.564;6.557.901.506;6.641.675.035;0.01261331339;3.240.551.985;1000;275
4.567.848.369;6.461.381.033;6.780.785.809;6.557.771.303;6.669.278.556;0.01671953753;3.485.678.484;1000;300
4.165.054.473;6.809.590.839;6.870.811.665;6.557.547.885;6.714.179.775;0.02332852192;3.731.650.545;1000;325
3.864.485.626;7.173.325.182;6.827.765.941;6.557.987.159;669.287.655;0.02015417285;3.978.644.856;1000;350
3.457.767.467;7.859.389.966;6.747.624.612;6.557.550.322;6.652.587.467;0.01428574149;4.224.577.675;1000;375
3.086.696.907;8.202.438.473;6.894.838.189;6.557.876.037;6.726.357.113;0.02504789338;4.470.866.969;1000;400
2.687.754.896;8.564.983.044;6.877.505.042;6.557.951.683;6.717.728.362;0.02378433171;4.716.877.549;1000;425
2.476.407.244;9.016.799.631;6.667.378.864;6.557.538.932;6.612.458.898;0.008305528523;4.964.764.072;1000;450
1.995.067.708;9.699.234.748;6.842.294.099;6.557.892.693;6.700.093.396;0.02122368961;5.209.950.677;1000;475
1.495.885.132;1.013.156.574;6.772.232.827;6.557.663.217;6.664.948.022;0.0160968705;5.454.958.851;1000;500
113.626.253;1.059.247.015;6.764.222.917;6.557.983.937;6.661.103.427;0.01548084205;5.701.362.625;1000;525
0.8425019662;1.096.897.818;6.927.539.766;6.557.988.496;6.742.764.131;0.02740354422;594.842.502;1000;550
8.318.826.382;198.212.571;680.130.282;6.557.215.573;6.679.259.196;0.01827202984;1.023.188.264;1050;50
7.931.813.112;2.367.276.749;6.779.333.379;6.557.445.898;6.668.389.639;0.01663726127;1.269.318.131;1050;75
7.666.756.861;3.057.720.986;6.682.745.927;6.557.850.796;6.620.298.362;0.009432741882;1.516.667.569;1050;100
7.082.433.979;3.580.480.359;6.925.809.103;6.557.736.539;6.741.772.821;0.02729790619;176.082.434;1050;125
6.633.256.739;3.972.047.654;7.000.769.365;6.557.992.674;677.938.102;0.03265612965;2.006.332.567;1050;150
6.477.426.168;4.462.326.732;6.674.563.144;6.556.547.917;661.555.553;0.008919525061;2.254.774.262;1050;175
5.901.514.938;502.897.547;6.811.016.723;6.557.682.901;6.684.349.812;0.01894977293;2.499.015.149;1050;200
5.431.112.803;5.419.044.555;6.874.201.791;6.557.666.078;6.715.933.935;0.02356602345;2.744.311.128;1050;225
5.132.901.558;5.757.106.887;6.917.264.709;6.557.969.945;6.737.617.327;0.02666334003;2.991.329.016;1050;250
